"","speed","X.break","Y.break","Type"
"5760",94.8,3.85,12.09,"FF"
"4245",73,-1.99,-9.45,"CU"
"9434",72.7,-0.922587690895,-6.79306837342,"CU"
"4954",92.3,3.29,8.03,"FF"
"23",93.2,0.05,10.55,"FF"
"4698",93.3,1.7,12.25,"FF"
"8252",92.6,2.78298675098569,11.1690899092671,"FF"
"1756",92.7,0.59,14.01,"FF"
"1362",92.7,2.95,10.17,"FF"
"4898",92.2,0.42,11.18,"FF"
"148",73.7,-3.2,-11.18,"CU"
"5891",93.1,0.22,10.71,"FF"
"6433",75.6,-0.37,-10.56,"CU"
"1255",92.3,3.84,12.67,"FF"
"6334",92.8,0.96,11.71,"FF"
"9128",73.7,0.297078966485908,-6.11571506764403,"CU"
"3092",92.4,-0.22,12.02,"FF"
"54",92.8,-0.1,11.56,"FF"
"7318",92.5,-0.62,14.86,"FF"
"3159",92.8,0.05,10.37,"FF"
"2813",92.5,1.92,9.24,"FF"
"5605",93.8,1.21,11.95,"FF"
"4301",93.8,3.03,12.88,"FF"
"5307",95.3,1.652,11.887,"FF"
"9283",91.4,3.36435832564266,13.2893514378392,"FF"
"3536",93,-0.25,11.74,"FF"
"1940",92.4,0.25,12.96,"FF"
"7393",93.1,1.36,13.27,"FF"
"937",91.2,0.61,-3.68,"FF"
"823",91.9,2.18,9.53,"FF"
"6133",72.2,-0.96,-12.05,"CU"
"7081",92.6,-0.81,13.46,"FF"
"7190",91.6,-1.03,8.37,"FF"
"7389",92.4,0.37,13.49,"FF"
"8241",91.9,-0.834909353599309,12.9145336473174,"FF"
"5710",94.9,-0.97,14.08,"FF"
"1375",92.5,2.2,9.92,"FF"
"7823",92.3,-0.02,10.62,"FF"
"9378",72.8,-4.70510168790773,-8.60937073412311,"CU"
"3730",93.1,2.56,13.15,"FF"
"2547",91.9,-1.41,9.55,"FF"
"1986",92.3,-1.11,13.13,"FF"
"5629",95.3,0.58,10.54,"FF"
"6725",73.3,-1,-9.08,"CU"
"5856",92.5,1.91,9.98,"FF"
"9463",93,3.3774486674626,14.7907021992109,"FF"
"2177",92.1,2.06,7.55,"FF"
"5276",73.6,2.124,-9.967,"CU"
"3406",93.1,1.05,10.08,"FF"
"8014",93.4,1.06,14.21,"FF"
"8495",92.7,2.10278423119555,14.4838420654603,"FF"
"6770",73.8,-2.56,-10.28,"CU"
"5113",93.7,1.9,10.48,"FF"
"4124",93.8,2.12,12.19,"FF"
"4685",74.6,-0.94,-12.06,"CU"
"7413",72.9,-3.21,-7.23,"CU"
"568",92.6,0.57,15.38,"FF"
"2661",93.9,3.19,11,"FF"
"3780",92.4,1.21,10.33,"FF"
"8573",72.3,-3.37690236434724,-10.7866744717061,"CU"
"222",93.5,2.3,12.46,"FF"
"2816",91.6,-0.37,13.05,"FF"
"3146",93.2,-0.02,11.27,"FF"
"1661",93.1,1.16,14.03,"FF"
"4304",93.2,-0.04,13.93,"FF"
"2538",93.7,2.29,11.42,"FF"
"6315",93.1,0.29,10.45,"FF"
"4427",92,-0.01,10.15,"FF"
"9225",73.9,-1.42195831748342,-8.04125083740125,"CU"
"6911",92,3.25,11.6,"FF"
"3702",92,0.91,12.57,"FF"
"2781",93.4,-0.06,11.99,"FF"
"370",92.6,-0.06,12.52,"FF"
"5309",94.8,3.075,9.379,"FF"
"7761",93.8,1.04,10.52,"FF"
"7210",92.6,0.04,10.25,"FF"
"5621",91.5,2.21,11.58,"FF"
"5088",73.9,-2.72,-8.25,"CU"
"8937",92.9,1.4803406160081,14.246275120605,"FF"
"648",92.2,-0.71,14.24,"FF"
"2966",93.7,-0.9,12.23,"FF"
"2021",92.6,-1.76,12.19,"FF"
"7581",72.1,-0.81,-7.29,"CU"
"1690",73.6,-4.15,-8.14,"CU"
"6339",94.2,1.09,9.55,"FF"
"5804",94.7,-0.09,12.71,"FF"
"974",92.5,1.18,14.98,"FF"
"7465",73.7,-2.01,-8.39,"CU"
"5647",91.7,1.73,13.58,"FF"
"570",92.1,-1.57,13.71,"FF"
"1860",72.9,-2.98,-9.16,"CU"
"7969",94.3,0.82,15.88,"FF"
"6759",94.6,-2.39,9.02,"FF"
"3357",74.4,-3.36,-7.96,"CU"
"6906",90.9,1.79,12.04,"FF"
"9348",93.3,-4.1165274356533,12.0779037204967,"FF"
"2157",91.8,-0.32,9.28,"FF"
"1610",92.8,3.09,10.71,"FF"
"3769",93.3,0.04,11.01,"FF"
"5769",95.6,0.76,12.47,"FF"
"8998",92.3,-0.561360644787955,13.8958517488194,"FF"
"4401",93.8,3.48,13.58,"FF"
"9439",92.4,-0.359917604639,14.9101598511,"FF"
"5271",73.6,1.128,-13.048,"CU"
"3732",75.2,-1.68,-9.21,"CU"
"1595",73.9,-3.89,-8.78,"CU"
"5162",94.2,-1.39,6.92,"FF"
"3548",93.9,1.12,11,"FF"
"6564",93.1,0.79,10.29,"FF"
"7799",72.5,-2.4,-9.33,"CU"
"1749",74.1,-3.06,-8.47,"CU"
"1829",94.5,0.88,14.57,"FF"
"3456",92.4,0.51,11.31,"FF"
"7614",92.9,-0.89,11.18,"FF"
"6156",93.9,2.25,11.18,"FF"
"5403",92.7,0.59,11.81,"FF"
"3773",74.5,-2.77,-9.41,"CU"
"7829",93.4,3.31,11.39,"FF"
"5135",94.2,-1.17,10.5,"FF"
"8400",93.9,0.924346506286236,13.031692085626,"FF"
"2348",91,0.07,13.76,"FF"
"4379",93.8,0.1,11.3,"FF"
"5335",93.2,2,9.79,"FF"
"3257",93,1.78,9.79,"FF"
"8876",72.6,2.13500014278811,-6.75763797223046,"CU"
"5030",93.8,-0.15,11.7,"FF"
"4012",93.5,-0.18,11.9,"FF"
"3835",94.6,1.22,14.24,"FF"
"8327",95.3,0.487567692023507,15.3612535300649,"FF"
"6257",94.7,1.29,11,"FF"
"5073",93.3,-0.75,8.65,"FF"
"3948",92.7,0.99,11.24,"FF"
"3880",93.3,1.37,12.86,"FF"
"4372",92.5,-0.27,11.53,"FF"
"1019",92.1,1.25,12.37,"FF"
"7208",92,0.63,10.73,"FF"
"1663",93.8,-1.23,12.85,"FF"
"3064",91.1,1.07,14.83,"FF"
"4762",91.4,-0.87,11.92,"FF"
"7446",93.1,-0.97,12.89,"FF"
"6058",93.6,3.38,9.51,"FF"
"2423",94.3,3.42,13.75,"FF"
"5671",93.9,0.98,11.25,"FF"
"2249",93.6,1.16,-2.61,"FF"
"5866",93.6,2.27,11.41,"FF"
"7109",93.5,0.42,15.4,"FF"
"7469",93.4,-1.41,11.86,"FF"
"8066",71.9,-2.72,-9.03,"CU"
"3333",74.3,-5.08,-7.97,"CU"
"8249",92,-1.11580970994733,8.51945560456272,"FF"
"2148",94.3,-0.07,13.25,"FF"
"7654",93.2,1.22,10.29,"FF"
"1277",93,-0.16,12.68,"FF"
"5444",71.5,-0.45,-10.28,"CU"
"7792",92.8,2.34,15.57,"FF"
"3936",92.9,1.85,11.41,"FF"
"6192",93,3.56,14.26,"FF"
"6105",95.1,1.11,11.99,"FF"
"6896",92.3,1.64,11.47,"FF"
"58",75,-2.35,-7.83,"CU"
"6276",73.7,-1.57,-11.06,"CU"
"7095",93.2,-1.32,16.11,"FF"
"1331",92.3,-1.66,14.56,"FF"
"843",72.6,-5.85,-9.25,"CU"
"4986",92,0.77,13.12,"FF"
"9274",92.6,0.264239889640044,13.5163101783764,"FF"
"4521",92.7,-0.37,11.64,"FF"
"2537",93.4,-0.22,13.07,"FF"
"95",93.5,-0.53,14.15,"FF"
"5333",94.6,3.63,13.99,"FF"
"7380",94.4,0.46,11.87,"FF"
"4536",90,1.74,2.63,"FF"
"2373",74.9,-2.69,-4.82,"CU"
"1369",92,1.73,10.84,"FF"
"8133",92.9,1.9,11.55,"FF"
"2978",93.5,0,12.33,"FF"
"6475",91.5,-2.26,6.95,"FF"
"9605",74.1,-0.179726532618769,-6.37523888383525,"CU"
"200",93.6,2.37,11.83,"FF"
"9053",92.5,2.92545553172059,13.0062930885334,"FF"
"5620",93.2,-1.05,12.88,"FF"
"2154",92,-1.94,11.35,"FF"
"8535",73.5,-4.77153549673712,-10.7730896887932,"CU"
"9643",92,-1.31466481417198,10.093936404254,"FF"
"3085",92.7,0.98,12.39,"FF"
"3350",92.6,-0.01,13.82,"FF"
"1607",91.3,5.93,10.9,"FF"
"4426",92.7,1.04,9.26,"FF"
"2739",92.5,-1.19,12.81,"FF"
"6016",93.7,2.23,10.09,"FF"
"7040",92.6,0.27,11.08,"FF"
"3256",94.5,2.26,9.99,"FF"
"3841",73.9,-2.82,-5.27,"CU"
"8717",93,0.736466346020227,15.6543844251187,"FF"
"3762",94,2.29,11.16,"FF"
"9509",92.4,0.429252075371215,12.8023834480615,"FF"
"1739",93.3,0.26,12.07,"FF"
"4668",94.5,0.03,10.03,"FF"
"7915",93.3,2.92,13.16,"FF"
"8107",93.1,2.18,11.96,"FF"
"3576",93.1,0.88,9.28,"FF"
"814",92.4,-0.66,13.84,"FF"
"2262",93.2,0.27,-2.92,"FF"
"4035",73.7,-1.27,-7.28,"CU"
"4744",93.1,1.07,14.32,"FF"
"1288",92.7,-1.08,11.42,"FF"
"2455",73.9,-1.92,-10.43,"CU"
"2495",93.2,2.21,14.28,"FF"
"6247",73.5,2.6,-11.41,"CU"
"3213",93.2,-2.12,9.89,"FF"
"4340",95.1,-0.53,15.36,"FF"
"5391",93,-1.41,10.44,"FF"
"363",91.9,-1.11,9.65,"FF"
"4564",93.7,-0.39,8.57,"FF"
"6197",72,-0.64,-11.15,"CU"
"293",92.1,1.71,14.69,"FF"
"3477",92.5,1,10.16,"FF"
"7630",92.1,0.95,13.96,"FF"
"6427",95.5,2.2,12.48,"FF"
"272",92.9,-0.66,13.39,"FF"
"6183",92.6,2.38,9.9,"FF"
"1548",74.5,-4.23,-6.96,"CU"
"238",92.3,-1.91,11.2,"FF"
"8892",74.8,-0.791463517077653,-8.31345914611857,"CU"
"4147",91.4,3.26,10.67,"FF"
"784",92.5,4.58,13.06,"FF"
"2907",74.6,-0.4,-8.27,"CU"
"5185",94.2,0.33,7.48,"FF"
"9354",71.9,-3.25438933716742,-8.93698414863164,"CU"
"6818",93.1,0.8,12.65,"FF"
"7164",92.8,-2.55,12.69,"FF"
"5756",95.6,4.82,11.35,"FF"
"2459",93.2,4.15,11.83,"FF"
"7954",93.5,1.43,11.68,"FF"
"8156",74.3,-1.16236680767599,-7.25987289718152,"CU"
"7432",92.8,-0.24,13.77,"FF"
"176",74.5,-0.26,-10.39,"CU"
"7181",92.9,0.39,12.2,"FF"
"5761",93.9,0.98,12.2,"FF"
"995",92.9,-0.22,14.86,"FF"
"368",92.6,1.04,12.49,"FF"
"5212",91.4,0.37,9.2,"FF"
"8891",93.4,1.46649418438595,14.9271272209063,"FF"
"9503",93.5,2.55946868541535,13.1070596793383,"FF"
"3469",92.2,2.05,11.33,"FF"
"877",92.2,-2.79,11.4,"FF"
"1370",91.8,2.6,11.15,"FF"
"2760",93.7,2.15,10.52,"FF"
"498",93.6,-0.04,-2.58,"FF"
"8373",73.6,1.84274206745896,-7.02008610387691,"CU"
"4235",93.4,-1.32,11.52,"FF"
"4133",74.3,-3.62,-8.51,"CU"
"9113",92.1,0.906793652638422,11.1446073864204,"FF"
"710",92.5,-0.99,12.11,"FF"
"4386",94.4,0.01,14.47,"FF"
"4566",74.8,-0.82,-10.25,"CU"
"6378",94.3,2.33,14.42,"FF"
"5134",94.5,0.77,10.73,"FF"
"7094",92.8,0.87,12.89,"FF"
"1222",91.9,2.69,12.2,"FF"
"7555",92.6,1.2,12.47,"FF"
"5820",92.8,1.23,10.92,"FF"
"6866",90.8,2.04,9.55,"FF"
"4230",74.7,-2.45,-9.28,"CU"
"6653",74.4,-1.58,-10.73,"CU"
"4811",73.7,0.04,-7.5,"CU"
"5594",94.7,0.75,9.58,"FF"
"5521",94.7,0.48,13.97,"FF"
"198",92.9,4.13,11.23,"FF"
"6464",96,1.34,12.84,"FF"
"7171",91.2,0.88,12.79,"FF"
"6031",94.3,2.52,10.83,"FF"
"5207",71.2,0.02,-12.62,"CU"
"8333",93.1,0.587202980600177,15.8522752849735,"FF"
"3980",93.3,2.37,11.92,"FF"
"3720",93,2.93,8.67,"FF"
"3152",92.4,-0.88,9.41,"FF"
"8387",92.4,0.801192212581598,13.7768850230548,"FF"
"8615",93.3,-0.0777286703272121,10.4643125538721,"FF"
"2569",92.8,1.54,11.34,"FF"
"6255",94.3,-0.15,9.06,"FF"
"5907",93.6,0.44,11.19,"FF"
"9525",92,1.39539976376648,13.0150956299015,"FF"
"9118",92.4,1.85200559571271,13.2708617930146,"FF"
"2516",91.9,0.81,10.76,"FF"
"444",93.2,1.86,14.91,"FF"
"8106",73.8,0.06,-9.64,"CU"
"1147",94.2,3.22,10.91,"FF"
"8960",91.8,1.23419711626741,15.9874882477844,"FF"
"4803",94.2,1.97,12.4,"FF"
"5094",94.8,-0.22,9.43,"FF"
"3500",92.5,2.37,8.29,"FF"
"7917",93.2,2.11,12.74,"FF"
"1529",93.6,0.4,13.16,"FF"
"2134",92.6,-0.6,11.6,"FF"
"1830",94.8,-0.55,12.44,"FF"
"1545",91.4,-1.38,13.33,"FF"
"2191",75.3,0.1,-8.46,"CU"
"8258",74.8,-3.07417005416309,-3.6966831132553,"CU"
"7027",73,1.17,-9.46,"CU"
"214",93.1,0.79,10.32,"FF"
"9133",93.8,-1.19242642996336,14.1435428978806,"FF"
"143",93.3,0.72,10.65,"FF"
"4847",93.9,1.04,7.75,"FF"
"6102",73.4,-1.55,-10.24,"CU"
"7708",74.1,1.27,-9.57,"CU"
"2056",92,1,13.23,"FF"
"7048",93,-0.3,10.14,"FF"
"8970",93.2,-1.8293067722246,10.4967637119957,"FF"
"7329",93.4,0.12,15.16,"FF"
"5294",73.2,0.127,-12.324,"CU"
"7610",93.7,0.58,17.97,"FF"
"6135",94.5,0.76,13.4,"FF"
"6565",93.9,0.89,9.81,"FF"
"2073",92.5,1.36,11.42,"FF"
"7160",93.1,0.67,12.75,"FF"
"8145",93.1,1.9091365205142,13.8954436554151,"FF"
"7533",93.3,2.91,11.89,"FF"
"8399",73.6,0.575479950444481,-6.62343400039463,"CU"
"6913",92.3,-0.45,10.69,"FF"
"7735",93.2,1.58,9.8,"FF"
"5510",94.8,1.41,14.26,"FF"
"3751",93.8,0.1,11.81,"FF"
"1886",94.1,0.96,15.26,"FF"
"6454",94.3,0.39,13.23,"FF"
"8057",93.8,-0.28,14.26,"FF"
"6188",72,0.13,-11.22,"CU"
"4088",92.5,1.83,10.84,"FF"
"4875",93.6,1.3,13.16,"FF"
"8154",93.2,-0.198780213456644,13.702872075514,"FF"
"2055",91.1,2.68,11.66,"FF"
"7400",94.8,1.64,13.19,"FF"
"8811",74.9,-0.743430382625316,-5.91787904257535,"CU"
"6742",93.7,4.69,10.95,"FF"
"6924",73.4,-1.82,-7.69,"CU"
"8664",93,1.05638281420526,12.0242627846251,"FF"
"2280",93.9,0.63,-2.46,"FF"
"8701",92.8,1.14917340986533,13.4838997733912,"FF"
"4735",73.8,-1.51,-10.71,"CU"
"4770",93.5,-0.25,10.1,"FF"
"1274",74.2,-2.86,-6.35,"CU"
"3954",92.7,2.72,11.47,"FF"
"2390",94.3,4.65,11.37,"FF"
"4445",93.4,-0.52,10.36,"FF"
"8742",93.9,0.315388911093073,13.2300351713003,"FF"
"9460",92.2,3.19602693313181,13.6652432438137,"FF"
"5705",73.3,-1.87,-11.57,"CU"
"7346",92.6,-0.32,14.48,"FF"
"5284",93.9,2.952,11.379,"FF"
"1887",93.9,-0.82,12.78,"FF"
"2660",93.5,1.96,12.05,"FF"
"4861",92.7,0.47,10.91,"FF"
"4774",75.5,-0.66,-9.99,"CU"
"6126",92.7,1.17,11.48,"FF"
"2850",92.4,-1.21,11.05,"FF"
"6140",92.4,2.32,12.66,"FF"
"6373",94,-1.24,11.09,"FF"
"9598",91.6,1.23184019308459,13.0593875506598,"FF"
"5341",94.5,1.37,10.63,"FF"
"7263",93.1,-2.88,9.53,"FF"
"6523",94.9,0.22,12.24,"FF"
"292",91.7,1.17,16.15,"FF"
"5457",93.1,0.09,9.94,"FF"
"4350",93.7,-1.47,10.75,"FF"
"4849",94.6,0.31,10.34,"FF"
"8510",93.9,0.212407338707672,14.9323077495446,"FF"
"4108",92,0.73,10.05,"FF"
"2360",91.4,1.33,10.15,"FF"
"5219",92.9,-1.68,8.14,"FF"
"3885",92.4,1.19,10.21,"FF"
"653",73.3,-3.38,-7.33,"CU"
"410",93.2,1.64,15.53,"FF"
"4115",93.7,2.09,10.48,"FF"
"118",91.9,-0.37,12.71,"FF"
"4708",74.7,-3.03,-10.68,"CU"
"276",72.4,-3.83,-5.28,"CU"
"4318",74.5,-4.46,-8.59,"CU"
"8279",92.7,1.57058944188241,16.2491208965119,"FF"
"3446",93.3,-0.82,10.08,"FF"
"2627",92.1,1.55,13.52,"FF"
"9616",92.4,2.89917858868828,12.4905166057744,"FF"
"5514",95,0.39,12.84,"FF"
"3198",91.6,1.88,11.45,"FF"
"2393",93.9,2.38,8.79,"FF"
"1518",93.6,0.19,13.32,"FF"
"2620",74.5,-5,-6.57,"CU"
"1189",73.9,-2.77,-10,"CU"
