"","speed","X.break","Y.break","Type"
"9193",72.6,-0.475976566351625,-11.4588517267595,"CU"
"6470",74.3,-0.69,-10.01,"CU"
"1567",92.2,-3.49,15.01,"FF"
"6650",94.9,-0.79,9.09,"FF"
"7022",93.1,1.91,9.56,"FF"
"2296",92.6,0.17,-3.6,"FF"
"5975",94.2,3.02,12.84,"FF"
"6153",91.4,1.38,10.58,"FF"
"1839",93.8,-0.09,12.43,"FF"
"7675",93.3,-0.08,11.02,"FF"
"229",92.7,1.84,10.14,"FF"
"4649",94.1,-0.99,8.44,"FF"
"291",90.8,2.28,14.75,"FF"
"3273",91.4,0.77,8.78,"FF"
"6757",93.7,-0.42,10.95,"FF"
"3594",93.1,0.36,11.91,"FF"
"908",91.6,1.06,-3.88,"FF"
"8648",94.8,3.44825011471169,14.739763415425,"FF"
"3",92,-0.15,10.89,"FF"
"3624",93.3,2.6,10.35,"FF"
"5822",72.9,-2.33,-12.11,"CU"
"5168",93.4,1.62,11.37,"FF"
"8471",93,0.92729645404443,14.0810723411587,"FF"
"4011",93.8,-0.23,11.28,"FF"
"7490",72.3,-2.43,-11.23,"CU"
"643",92.7,1.97,13.16,"FF"
"9244",92.7,2.69167210165045,15.7739010253638,"FF"
"1901",92.8,-2.02,12.77,"FF"
"1946",92.7,-0.07,12.59,"FF"
"466",92.5,-0.48,13.62,"FF"
"2233",93.8,1.15,-2.27,"FF"
"3654",91.3,-0.92,10.73,"FF"
"6320",93.1,1.82,7.21,"FF"
"8338",73.2,1.25519763746624,-8.46045886544251,"CU"
"7481",92.7,-0.05,11.38,"FF"
"6691",92.9,1.49,10.75,"FF"
"375",90.5,0.77,13.33,"FF"
"4334",92.3,1.05,11.57,"FF"
"2076",93.3,-0.19,12.06,"FF"
"7456",73.2,-1.49,-8.8,"CU"
"2316",92.9,0.43,11.5,"FF"
"1691",94.5,-0.72,12.49,"FF"
"7379",94.5,1.99,15.38,"FF"
"4162",92.7,1.13,10.08,"FF"
"9195",73.4,-0.87573795567078,-10.577671704792,"CU"
"413",94.4,0.27,16.79,"FF"
"1225",92.9,2.05,13.02,"FF"
"5785",72.8,1.02,-9.92,"CU"
"3059",73.1,-4.34,-8.96,"CU"
"359",92.4,0.14,11.9,"FF"
"7539",73.3,0.39,-10.11,"CU"
"3716",93.6,-0.02,10.53,"FF"
